0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-4
0	-5
0	-5
0	-5
5	-5
5	-6
6	-6
6	-6
6	-6
6	-7
5	-7
5	-7
0	-7
0	-7
0	-8
0	-8
0	-8
-5	-8
-6	-8
-8	-9
-9	-9
-10	-9
-11	-9
-11	-9
-11	-9
-10	-9
-9	-9
-7	-9
-5	-9
0	-9
0	-9
0	-9
6	-9
9	-9
12	-8
14	-8
16	-8
18	-8
18	-7
18	-7
17	-7
15	-6
13	-6
10	-5
6	-5
0	0
0	0
-7	0
-12	0
-16	0
-20	0
-23	0
-25	0
-27	0
-27	0
-26	0
-24	5
-21	6
-16	7
-11	8
-5	9
0	11
8	12
14	13
21	14
26	16
31	17
35	19
37	20
38	21
38	23
35	24
31	26
26	28
19	29
12	31
0	32
-6	34
-15	36
-24	37
-32	39
-39	41
-45	42
-49	44
-52	46
-52	47
-50	49
-45	51
-39	52
-31	54
-21	55
-10	57
0	58
14	60
26	61
38	63
48	64
57	65
63	67
67	68
69	69
67	70
63	71
56	72
46	73
34	74
20	74
5	75
-11	76
-27	76
-42	76
-56	77
-68	77
-78	77
-85	77
-88	77
-88	76
-84	76
-77	76
-66	75
-52	74
-35	73
-16	72
0	71
24	70
44	69
63	67
80	65
94	64
104	62
111	60
113	57
110	55
103	52
91	50
75	47
55	44
33	41
8	38
-18	34
-43	31
-68	27
-90	23
-109	19
-124	15
-135	11
-140	6
-139	0
-133	0
-121	-8
-103	-13
-81	-18
-54	-23
-25	-28
6	-33
38	-39
69	-44
99	-50
124	-56
146	-62
161	-68
171	-74
174	-80
169	-86
157	-92
139	-98
114	-104
84	-111
49	-117
12	-123
-27	-130
-66	-136
-103	-142
-137	-148
-166	-155
-188	-161
-204	-167
-211	-173
-210	-179
-199	-185
-181	-191
-154	-197
-120	-203
-80	-208
-36	-214
10	-219
58	-224
104	-229
147	-234
185	-239
216	-243
239	-248
253	-252
256	-256
249	-259
231	-263
203	-266
166	-269
122	-271
71	-274
16	-276
-41	-278
-97	-279
-151	-280
-200	-281
-242	-282
-274	-282
-296	-282
-306	-281
-303	-281
-288	-279
-261	-278
-221	-276
-172	-274
-115	-271
-51	-268
16	-264
84	-260
150	-256
212	-251
266	-246
310	-240
342	-234
361	-228
365	-221
354	-214
328	-206
288	-198
236	-189
172	-180
99	-171
21	-161
-59	-151
-139	-140
-215	-129
-284	-118
-342	-106
-387	-94
