#type; SYS_CFG
#base; SYS_CFG 0x03000000
#regdef; DSP_BOOT_RAMMAP_REG; 0x0008; DSP Boot SRAM Remap Control Register
#regdef; VER_REG; 0x0024; Version Register
#regdef; EMAC_EPHY_CLK_REG0; 0x0030; EMAC-EPHY Clock Register 0
#regdef; SYS_LDO_CTRL_REG; 0x0150; System LDO Control Register
#regdef; RESCAL_CTRL_REG; 0x0160; Resistor Calibration Control Register
#regdef; RES240_CTRL_REG; 0x0168; 240ohms Resistor Manual Control Register
#regdef; RESCAL_STATUS_REG; 0x016C; Resistor Calibration Status Register
#regdef; SYS_LDOB_SID; 0x21C;
#regdef; SYS_EFUSE_REG; 0x228;
#regdef; pad 0; 4096; Set i/o block size
#typeend;
